Ocasiao|Casa|Fora|Casa_placar|Fora_placar
Copa Continental|Estados Unidos|Mexico|0|1
Amistoso|Estados Unidos|Mexico|0|3
Amistoso|Estados Unidos|Uruguai|1|1
Liga Continental|Estados Unidos|Canada|0|2
Liga Continental|Estados Unidos|Canada|4|1
Amistoso|Estados Unidos|Suica|1|2
Liga Continental|Estados Unidos|Mexico|3|2
Copa Continental|Estados Unidos|Canada|1|0
Copa Continental|Estados Unidos|Mexico|1|0
Eliminatorias|Estados Unidos|Canada|1|1
Eliminatorias|Estados Unidos|Mexico|2|0
Eliminatorias|Estados Unidos|Canada|0|2
Eliminatorias|Estados Unidos|Mexico|0|0
Amistoso|Estados Unidos|Marrocos|3|0
Amistoso|Estados Unidos|Uruguai|0|0
Amistoso|Estados Unidos|Arabia Saudita|0|0
Liga Continental|Dinamarca|Gales|2|0
Liga Continental|Gales|Dinamarca|1|2
Copa Continental|Croacia|Gales|2|1
Copa Continental|Gales|Croacia|1|1
Eliminatorias|Belgica|Gales|3|1
Amistoso|Gales|Mexico|1|0
Amistoso|Franca|Gales|3|0
Copa Continental|Gales|Suica|1|1
Copa Continental|Gales|Dinamarca|0|4
Eliminatorias|Gales|Belgica|1|1
Liga Continental|Polonia|Gales|2|1
Liga Continental|Gales|Belgica|1|1
Liga Continental|Belgica|Gales|2|1
Liga Continental|Gales|Polonia|0|1
Liga Continental|Belgica|Suica|2|1
Liga Continental|Suica|Belgica|5|2
Amistoso|Belgica|Croacia|1|0
Liga Continental|Belgica|Polonia|6|1
Liga Continental|Polonia|Belgica|0|1
Amistoso|Belgica|Suica|2|1
Liga Continental|Belgica|Franca|2|3
Liga Continental|Dinamarca|Belgica|0|2
Liga Continental|Belgica|Dinamarca|4|2
Copa Continental|Dinamarca|Belgica|1|2
Copa Continental|Belgica|Portugal|1|0
Copa Continental|Mexico|Canada|3|1
Copa Continental|Mexico|Canada|2|1
Eliminatorias|Mexico|Canada|1|1
Eliminatorias|Canada|Mexico|2|1
Amistoso|Canada|Uruguai|0|2
Copa Continental|Marrocos|Camaroes|2|0
Amistoso|Tunisia|Marrocos|0|1
Amistoso|Marrocos|Argentina|0|1
Copa Continental|Marrocos|Camaroes|4|0
Copa Regional|Marrocos|Arabia Saudita|1|0
Copa Continental|Marrocos|Gana|1|0
Amistoso|Portugal|Croacia|1|1
Amistoso|Croacia|Tunisia|1|2
Liga Continental|Portugal|Croacia|4|1
Liga Continental|Franca|Croacia|4|2
Amistoso|Suica|Croacia|1|2
Liga Continental|Croacia|Franca|1|2
Liga Continental|Croacia|Portugal|2|3
Liga Continental|Croacia|Franca|1|1
Liga Continental|Dinamarca|Croacia|0|1
Liga Continental|Franca|Croacia|0|1
Liga Continental|Croacia|Dinamarca|2|1
Amistoso|Argentina|Brasil|0|1
Amistoso|Argentina|Mexico|2|0
Amistoso|Argentina|Mexico|2|0
Copa Continental|Brasil|Argentina|2|0
Amistoso|Argentina|Mexico|4|0
Amistoso|Brasil|Argentina|0|1
Copa Continental|Argentina|Brasil|1|0
Eliminatorias|Argentina|Brasil|0|0
Amistoso|Arabia Saudita|Brasil|0|2
Amistoso|Coreia do Sul|Arabia Saudita|0|0
Amistoso|Mexico|Uruguai|1|4
Amistoso|Mexico|Coreia do Sul|3|2
Liga Continental|Polonia|Portugal|2|3
Liga Continental|Portugal|Polonia|1|1
Amistoso|Brasil|Uruguai|1|0
Amistoso|Brasil|Camaroes|1|0
Amistoso|Brasil|Coreia do Sul|3|0
Amistoso|Coreia do Sul|Brasil|1|5
Amistoso|Brasil|Gana|3|0
Amistoso|Brasil|Tunisia|5|1
Copa Continental|Portugal|Servia|1|1
Copa Continental|Servia|Portugal|2|4
Copa Continental|Servia|Portugal|2|2
Copa Continental|Portugal|Servia|1|2
Amistoso|Dinamarca|Servia|3|0
Copa Continental|Dinamarca|Suica|1|0
Copa Continental|Franca|Suica|3|3
Liga Continental|Portugal|Suica|4|0
Liga Continental|Suica|Portugal|1|0
Copa Continental|Camaroes|Gana|0|0
Amistoso|Tunisia|Camaroes|0|0
Amistoso|Coreia do Sul|Camaroes|1|0
Liga Continental|Franca|Portugal|0|0
Liga Continental|Portugal|Franca|0|1
Copa Continental|Portugal|Franca|2|2
Liga Continental|Franca|Dinamarca|1|2
Liga Continental|Dinamarca|Franca|2|0
Amistoso|Australia|Coreia do Sul|1|1
Amistoso|Coreia do Sul|Australia|1|0
Copa Continental|Gana|Tunisia|1|1
Amistoso|Coreia do Sul|Uruguai|2|1
